BEId	action	group	id	name	pharmAction	proteinId
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	
BE0004907	inducer	approved	DB00273	Topiramate	unknown	
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	
BE0004903	regulator	approved, nutraceutical	DB13961	Fish oil	unknown	
BE0004903	translocation inhibitor	approved, experimental	DB13751	Glycyrrhizic acid	yes	
BE0004903	inhibitor	investigational	DB05559	NF-kappaB Decoy	unknown	
BE0004903	inhibitor	approved	DB00843	Donepezil	unknown	
BE0004903	inhibitor	investigational	DB01411	Pranlukast	unknown	
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	Q9UGI9
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q9UGI9
BE0004907	inducer	approved	DB00273	Topiramate	unknown	Q9UGI9
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	Q9UGI9
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	Q9UGJ0
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q9UGJ0
BE0004907	inducer	approved	DB00273	Topiramate	unknown	Q9UGJ0
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	Q9UGJ0
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	P54646
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	P54646
BE0004907	inducer	approved	DB00273	Topiramate	unknown	P54646
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	P54646
BE0004907	induceractivator	approved	DB00331	Metformin	yes	Q9Y478
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	unknown	Q9Y478
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	Q9Y478
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q9Y478
BE0004907	inducer	approved	DB00273	Topiramate	unknown	Q9Y478
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	Q9Y478
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	unknown	Q13131
BE0004907		investigational, nutraceutical	DB00171	ATP	unknown	Q13131
BE0004907	activator	approved, investigational, withdrawn	DB00914	Phenformin	yes	Q13131
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q13131
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	Q13131
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	Q13131
BE0004907	inducer	approved	DB00273	Topiramate	unknown	Q13131
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	Q13131
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	P54619
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	P54619
BE0004907	inducer	approved	DB00273	Topiramate	unknown	P54619
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	P54619
BE0004907	activator	approved, vet_approved	DB00945	Acetylsalicylic acid	unknown	O43741
BE0004907	inhibitor	approved, investigational	DB12010	Fostamatinib	unknown	O43741
BE0004907	inducer	approved	DB00273	Topiramate	unknown	O43741
BE0004907	activator	approved, investigational, nutraceutical	DB00131	Adenosine phosphate	yes	O43741
BE0001172		experimental	DB07812	N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide	unknown	
BE0001172		experimental	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	unknown	
BE0001172		experimental	DB07947	ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE	unknown	
BE0001172		experimental	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	unknown	
BE0004903		investigational	DB05212	HE3286	unknown	Q00653
BE0004903		investigational	DB05451	P54	unknown	Q00653
BE0004903		investigational	DB05464	NOX-700	unknown	Q00653
BE0004903		investigational	DB05471	SGN-30	unknown	Q00653
BE0004903		investigational	DB05767	Andrographolide	unknown	Q00653
BE0004903		investigational	DB05487	Custirsen	unknown	Q00653
BE0004903	regulator	approved, nutraceutical	DB13961	Fish oil	unknown	Q00653
BE0004903	translocation inhibitor	approved, experimental	DB13751	Glycyrrhizic acid	yes	Q00653
BE0004903	inhibitor	investigational	DB05559	NF-kappaB Decoy	unknown	Q00653
BE0004903	inhibitor	approved	DB00843	Donepezil	unknown	Q00653
BE0004903	inhibitor	investigational	DB01411	Pranlukast	unknown	Q00653
BE0004903	inhibitor	experimental, investigational	DB14059	SC-236	yes	Q00653
BE0004903	other/unknown	investigational	DB01411	Pranlukast	unknown	P19838
BE0004903		investigational	DB05212	HE3286	unknown	P19838
BE0004903		investigational	DB05451	P54	unknown	P19838
BE0004903		investigational	DB05464	NOX-700	unknown	P19838
BE0004903		investigational	DB05471	SGN-30	unknown	P19838
BE0004903		investigational	DB05767	Andrographolide	unknown	P19838
BE0004903		investigational	DB05487	Custirsen	unknown	P19838
BE0004903	antagonist	approved, investigational	DB08814	Triflusal	yes	P19838
BE0004903	inhibitor	approved	DB00852	Pseudoephedrine	unknown	P19838
BE0004903	regulator	approved, nutraceutical	DB13961	Fish oil	unknown	P19838
BE0004903	translocation inhibitor	approved, experimental	DB13751	Glycyrrhizic acid	yes	P19838
BE0004903	inhibitor	investigational	DB05559	NF-kappaB Decoy	unknown	P19838
BE0004903	inhibitor	approved	DB00843	Donepezil	unknown	P19838
BE0004903	inhibitor	investigational	DB01411	Pranlukast	unknown	P19838
BE0004903	inhibitor	experimental, investigational	DB14059	SC-236	yes	P19838
BE0000428		investigational, nutraceutical	DB00171	ATP	unknown	
BE0000428	inducer	approved, investigational	DB01169	Arsenic trioxide	unknown	
BE0000428		experimental	DB01863	Inositol 1,3,4,5-Tetrakisphosphate	unknown	
BE0000428		investigational	DB05971	Archexin	unknown	
BE0000428		investigational	DB06486	Enzastaurin	unknown	
BE0000428		investigational	DB06641	Perifosine	unknown	
BE0000428		experimental	DB07584	N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine	unknown	
BE0000428		experimental	DB07585	5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine	unknown	
BE0000428		investigational	DB01645	Genistein	unknown	
BE0000428	inhibitor	investigational	DB02709	Resveratrol	unknown	
BE0001172		experimental	DB07812	N-[(1S)-2-amino-1-phenylethyl]-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide	unknown	P31751
BE0001172		experimental	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE	unknown	P31751
BE0001172		experimental	DB07947	ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE	unknown	P31751
BE0001172		experimental	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	unknown	P31751
BE0005803	agonistactivator	approved, vet_approved	DB09140	Oxygen	unknown	
BE0000428		investigational, nutraceutical	DB00171	ATP	unknown	P31749
BE0000428	inducer	approved, investigational	DB01169	Arsenic trioxide	unknown	P31749
BE0000428		experimental	DB01863	Inositol 1,3,4,5-Tetrakisphosphate	unknown	P31749
BE0000428		investigational	DB05971	Archexin	unknown	P31749
BE0000428		investigational	DB06486	Enzastaurin	unknown	P31749
BE0000428		investigational	DB06641	Perifosine	unknown	P31749
BE0000428		experimental	DB07584	N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine	unknown	P31749
BE0000428		experimental	DB07585	5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine	unknown	P31749
BE0000428		investigational	DB01645	Genistein	unknown	P31749
BE0000428	inhibitor	investigational	DB02709	Resveratrol	unknown	P31749
BE0003546	substrate	approved, investigational	DB01143	Amifostine	unknown	
BE0003546	cofactor	approved, investigational	DB09498	Strontium chloride Sr-89	no	
BE0003546	antagonist	experimental	DB09338	Mersalyl	unknown	
BE0003546	substrate	approved, investigational, nutraceutical, vet_approved	DB00165	Pyridoxine	unknown	
BE0003546	substrate	approved, investigational, nutraceutical, vet_approved	DB00165	Pyridoxine	unknown	
BE0005803	agonistactivator	approved, vet_approved	DB09140	Oxygen	unknown	Q9Y5S8
BE0003546	substrate	approved, investigational	DB01143	Amifostine	unknown	P05186
BE0003546	cofactor	approved, investigational	DB09498	Strontium chloride Sr-89	no	P05186
BE0003546	antagonist	experimental	DB09338	Mersalyl	unknown	P05186
BE0003546	substrate	approved, investigational, nutraceutical, vet_approved	DB00165	Pyridoxine	unknown	P05186
BE0003546	substrate	approved, investigational, nutraceutical, vet_approved	DB00165	Pyridoxine	unknown	P05186
BE0009550	inhibitor	experimental, vet_approved	DB11455	Robenacoxib	unknown	
BE0009550	inhibitor	experimental, investigational	DB14059	SC-236	yes	
BE0009550	inhibitor	experimental	DB14060	NS-398	yes	
BE0000985		approved, investigational	DB03904	Urea	unknown	
BE0009550	inhibitor	experimental, vet_approved	DB11455	Robenacoxib	unknown	Q8SPQ9
BE0009550	inhibitor	experimental, investigational	DB14059	SC-236	yes	Q8SPQ9
BE0009550	inhibitor	experimental	DB14060	NS-398	yes	Q8SPQ9
BE0000918	antagonist	investigational, nutraceutical	DB01404	Ginseng	unknown	
BE0000918		investigational	DB05017	YSIL6	unknown	
BE0000918		investigational	DB05470	VX-702	unknown	
BE0000918		investigational	DB05744	CRx-139	unknown	
BE0000918		investigational	DB05767	Andrographolide	unknown	
BE0000918		approved, investigational	DB11967	Binimetinib	unknown	
BE0000918		investigational	DB05513	Atiprimod	unknown	
BE0000918	antagonistantibody	approved, investigational	DB09036	Siltuximab	yes	
BE0000918		investigational	DB12140	Dilmapimod	unknown	
BE0000918	inhibitor	experimental	DB09221	Polaprezinc	unknown	
BE0000918	agonist	approved	DB10770	Foreskin fibroblast (neonatal)	unknown	
BE0000918	agonist	approved	DB10772	Foreskin keratinocyte (neonatal)	yes	
BE0000918	antagonist	investigational	DB13127	Olokizumab	yes	
BE0000961		investigational	DB05434	ABT-510	unknown	
BE0000961		investigational	DB05484	MDX-018	unknown	
BE0000961	antagonist	investigational	DB05855	Rivanicline	unknown	
BE0000985		approved, investigational	DB03904	Urea	unknown	P35222
BE0000918	antagonist	investigational, nutraceutical	DB01404	Ginseng	unknown	P05231
BE0000918		investigational	DB05017	YSIL6	unknown	P05231
BE0000918		investigational	DB05470	VX-702	unknown	P05231
BE0000918		investigational	DB05744	CRx-139	unknown	P05231
BE0000918		investigational	DB05767	Andrographolide	unknown	P05231
BE0000918		approved, investigational	DB11967	Binimetinib	unknown	P05231
BE0000918		investigational	DB05513	Atiprimod	unknown	P05231
BE0000918	antagonistantibody	approved, investigational	DB09036	Siltuximab	yes	P05231
BE0000918		investigational	DB12140	Dilmapimod	unknown	P05231
BE0000918	inhibitor	experimental	DB09221	Polaprezinc	unknown	P05231
BE0000918	agonist	approved	DB10770	Foreskin fibroblast (neonatal)	unknown	P05231
BE0000918	agonist	approved	DB10772	Foreskin keratinocyte (neonatal)	yes	P05231
BE0000918	antagonist	investigational	DB13127	Olokizumab	yes	P05231
BE0001051	modulator	approved, investigational	DB01017	Minocycline	unknown	
BE0001051		investigational	DB05412	Talmapimod	unknown	
BE0001051		investigational	DB05442	Etiprednol dicloacetate	unknown	
BE0001051		investigational	DB05133	VP025	unknown	
BE0001051		investigational	DB05470	VX-702	unknown	
BE0001051		investigational	DB05767	Andrographolide	unknown	
BE0001051		investigational	DB05507	VX-765	unknown	
BE0001051		investigational	DB12119	Gevokizumab	unknown	
BE0001051		approved, investigational	DB11967	Binimetinib	unknown	
BE0001051	binder	approved, investigational	DB06168	Canakinumab	yes	
BE0001051	antagonist	approved, investigational	DB05260	Gallium nitrate	yes	
BE0001051	binder	approved, investigational	DB06372	Rilonacept	unknown	
BE0001051		investigational	DB12140	Dilmapimod	unknown	
BE0001051	agonist	approved	DB10772	Foreskin keratinocyte (neonatal)	yes	
BE0001051	inhibitorinducer	approved	DB00843	Donepezil	unknown	
BE0000961		investigational	DB05434	ABT-510	unknown	P10145
BE0000961		investigational	DB05484	MDX-018	unknown	P10145
BE0000961	antagonist	investigational	DB05855	Rivanicline	unknown	P10145
BE0001047	inhibitor	experimental	DB01055	Mimosine	yes	
BE0001047	inhibitor	approved	DB01406	Danazol	unknown	
BE0001047		approved, investigational, nutraceutical	DB09301	Chondroitin sulfate	unknown	
BE0001051	modulator	approved, investigational	DB01017	Minocycline	unknown	P01584
BE0001051		investigational	DB05412	Talmapimod	unknown	P01584
BE0001051		investigational	DB05442	Etiprednol dicloacetate	unknown	P01584
BE0001051		investigational	DB05133	VP025	unknown	P01584
BE0001051		investigational	DB05470	VX-702	unknown	P01584
BE0001051		investigational	DB05767	Andrographolide	unknown	P01584
BE0001051		investigational	DB05507	VX-765	unknown	P01584
BE0001051		investigational	DB12119	Gevokizumab	unknown	P01584
