biochemical.chemicalFormula	biochemical.clearance	biochemical.halfLife	biochemical.molecularWeight	biochemical.smiles	biochemical.state	biochemical.volumeOfDistribution	enzymes.PIds	enzymes.genes	enzymes.names	externalLinks	externalLinks.BindingDB	externalLinks.ChEBI	externalLinks.ChEMBL	externalLinks.ChemSpider	externalLinks.Drugs.com	externalLinks.Guide to Pharmacology	externalLinks.Human Metabolome Database	externalLinks.KEGG Compound	externalLinks.KEGG Drug	externalLinks.PDBe Ligand	externalLinks.PDRhealth	externalLinks.PharmGKB	externalLinks.PubChem Compound	externalLinks.PubChem Substance	externalLinks.RxList	externalLinks.RxNav	externalLinks.Therapeutic Targets Database	externalLinks.Wikipedia	externalLinks.ZINC	general.brandNames	general.genericName	general.groups	general.id	general.inChI	general.inChIKey	general.maxPhase	general.summary	general.toxicity	general.type	pathways.links	pathways.names	propertiesAdmet	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Rat acute toxicity	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesExperimental	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point (°C)	propertiesExperimental.logP	propertiesExperimental.logS	propertiesExperimental.melting point (°C)	propertiesExperimental.pKa	propertiesExperimental.water solubility	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.Hydrogen Acceptor Count	propertiesPredicted.Hydrogen Donor Count	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polar Surface Area	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Rotatable Bond Count	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesPredicted.Water Solubility	propertiesPredicted.logP	propertiesPredicted.logS	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	targets.PIds	targets.genes	targets.names
C23H27N5O7S	32 - 41 mL/min/1.73 m2124 - 160 mL/min/1.73 m2 [older pediatric patients]	36-72 minutes	517.555	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O	Solid	101 mL/kg [intravenous administration of 50 mg/kg (5-minute infusion) in neonates]					50240426	8232	CHEMBL702	39798	Drugs.com Drug Page		HMDB0014464	C14034	D00466	WPP		PA450975	43672	46504757	RxList Drug Page	1546000	DAP001164	Piperacillin	ZINC000003913937	Pipracil, Zosyn	Piperacillin	Approved	DB00319	InChI=1S/C23H27N5O7S/c1-4-26-10-11-27(19(32)18(26)31)22(35)25-13(12-8-6-5-7-9-12)16(29)24-14-17(30)28-15(21(33)34)23(2,3)36-20(14)28/h5-9,13-15,20H,4,10-11H2,1-3H3,(H,24,29)(H,25,35)(H,33,34)/t13-,14-,15+,20-/m1/s1	IVBHGBMCVLDMKU-GXNBUGAJSA-N	4	Piperacillin is a penicillin antibiotic combined with tazobactam to treat piperacillin-resistant, piperacillin/tazobactam­ susceptible, β-lactamase generating strains of several bacteria.	Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	2.3925 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor					0.3					1	No	7	3	Yes	4	-1	156.43 Å2	51.77 Å3	126.3 m3·mol-1	6	No	No	0.119 mg/mL	-0.26	-3.6	3.49	-4.3	Q75Y35;!P0A3M6;!Q8DNB6;!Q7CRA4	pbp3;!penA;!pbp2a;!pbp1b	1. Penicillin-binding protein 3;!2. Penicillin-binding protein 2B;!3. Penicillin-binding protein 2a;!4. Penicillin-binding protein 1b
C20H23N5O6S	Not Available	Mean elimination half-life is 1.3 to 1.5 hours. Longer in neonates, and 2 to 6 hours in patients with renal impairment.	461.492	[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1	Solid	Not Available						2956	CHEMBL1537	4980416			HMDB0015194	C06839	D02339			PA164749135	6479523	46506654		1266	DAP001169	Azlocillin	ZINC000003830261		Azlocillin	Approved	DB01061	InChI=1S/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)/t11-,12-,13+,16-/m1/s1	JTWOMNBEOCYFNV-NFFDBFGFSA-N			Not Available	Small Molecule				Non AMES toxic	Ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	2.1838 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor					0.2				Sodium salt is soluble in water (50 mg/ml)	1	Yes	6	4	No	4	-1	148.15 Å2	44.97 Å3	111.71 m3·mol-1	5	Yes	No	0.233 mg/mL	-0.33	-3.3	3.49	-5.9	Q8XJ01	pbpA	1. Penicillin-binding protein 1A
C35H36FN3O9	Not Available	Not Available	661.6734	COC(=O)C1=C(C=CC(C[C@H](NC(C)=O)C(=O)N[C@H]2CCCCN(CC3=CC=C(C=C3)C3=CC=CC=C3)C2=O)=C1)C(F)(C(O)=O)C(O)=O	Solid	Not Available					14692		CHEMBL357488	394585						903			447522	46506689					ZINC000024662085		RU90395	Experimental	DB02432	InChI=1S/C35H36FN3O9/c1-21(40)37-29(19-23-13-16-27(26(18-23)32(43)48-2)35(36,33(44)45)34(46)47)30(41)38-28-10-6-7-17-39(31(28)42)20-22-11-14-25(15-12-22)24-8-4-3-5-9-24/h3-5,8-9,11-16,18,28-29H,6-7,10,17,19-20H2,1-2H3,(H,37,40)(H,38,41)(H,44,45)(H,46,47)/t28-,29-/m0/s1	RLLAUERCSKPFGD-VMPREFPWSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Inhibitor	Inhibitor	Substrate	2.6625 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										0	No	8	4	Yes	4	-2	179.41 Å2	65.9 Å3	169.79 m3·mol-1	13	No	No		3.54		2.25	-1.9	P12931	SRC	1. Proto-oncogene tyrosine-protein kinase Src
C20H19ClN4O4S	Not Available	Not Available	446.907	[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2	Solid	Not Available								10160347						FRX			11987874	99444263					ZINC000028818268		(S)-2-CHLORO-N-(1-(2-(2-HYDROXYETHYLAMINO)-2-OXOETHYL)-2-OXO-1,2,3,4-TETRAHYDROQUINOLIN-3-YL)-6H-THIENO[2,3-B]PYRROLE-5-CARBOXAMIDE	Experimental	DB07792	InChI=1S/C20H19ClN4O4S/c21-16-9-12-8-13(24-19(12)30-16)18(28)23-14-7-11-3-1-2-4-15(11)25(20(14)29)10-17(27)22-5-6-26/h1-4,8-9,14,24,26H,5-7,10H2,(H,22,27)(H,23,28)/t14-/m0/s1	VUKPNWLGSLOHIF-AWEZNQCLSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	2.2973 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										1	Yes	4	4	Yes	4	0	114.53 Å2	45.48 Å3	110.62 m3·mol-1	6	Yes	No	0.00712 mg/mL	1.2	-4.8	10.94	-1.8	P11217	PYGM	1. Glycogen phosphorylase, muscle form
C22H20F5N3O3	Not Available	Not Available	469.412	CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@H]1C2=CC=CC=C2C2=CC=CC=C2NC1=O	Not Available	Not Available						86474		25027400									49867930	347828207				RO4929097	ZINC000043208642		RG-4733	Investigational	DB11870	InChI=1S/C22H20F5N3O3/c1-20(2,18(32)28-11-21(23,24)22(25,26)27)19(33)30-16-14-9-4-3-7-12(14)13-8-5-6-10-15(13)29-17(16)31/h3-10,16H,11H2,1-2H3,(H,28,32)(H,29,31)(H,30,33)/t16-/m0/s1	OJPLJFIFUQPSJR-INIZCTEOSA-N	2		Not Available	Small Molecule																																			1	Yes	3	3	Yes	3	0	87.3 Å2	41.16 Å3	109.42 m3·mol-1	6	Yes	No	0.00228 mg/mL	3.78	-5.3	10.85	-4.5			
C22H23F3N4O4	Not Available	Not Available	464.445	C[C@H](NC(=O)CCC(F)(F)F)C(=O)N[C@H]1C2=CC=CC=C2C2=CC=CN=C2N(CCO)C1=O	Not Available	Not Available							CHEMBL2338397	29315056									71236992	347828361					ZINC000095586643		LY-3039478	Investigational	DB12050	InChI=1S/C22H23F3N4O4/c1-13(27-17(31)8-9-22(23,24)25)20(32)28-18-15-6-3-2-5-14(15)16-7-4-10-26-19(16)29(11-12-30)21(18)33/h2-7,10,13,18,30H,8-9,11-12H2,1H3,(H,27,31)(H,28,32)/t13-,18-/m0/s1	YCBAQKQAINQRFW-UGSOOPFHSA-N	2		Not Available	Small Molecule																																			1	Yes	5	3	Yes	3	0	111.63 Å2	43.07 Å3	112.03 m3·mol-1	8	Yes	No	0.0994 mg/mL	1.07	-3.7	11.41	2.24			
C26H27F5N6O3	Not Available	Not Available	566.523	FC1=C(F)C(=CC=C1)[C@@H]1CC[C@@H](NC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C(=O)N(CC(F)(F)F)C1	Not Available	Not Available					50224431		CHEMBL236593	9494017						N7R			11319053	347828507				Telcagepant	ZINC000028827350		Telcagepant	Investigational	DB12228	InChI=1S/C26H27F5N6O3/c27-18-4-1-3-17(21(18)28)15-6-7-19(23(38)36(13-15)14-26(29,30)31)33-24(39)35-11-8-16(9-12-35)37-20-5-2-10-32-22(20)34-25(37)40/h1-5,10,15-16,19H,6-9,11-14H2,(H,33,39)(H,32,34,40)/t15-,19-/m1/s1	CGDZXLJGHVKVIE-DNVCBOLYSA-N	3		Not Available	Small Molecule																																			1	No	4	2	No	5	0	97.88 Å2	52.43 Å3	134.6 m3·mol-1	5	No	No	0.0936 mg/mL	2.63	-3.8	10.69	3.16	Q16602;!P06881;!P10092	CALCRL;!CALCA;!CALCB	1. Calcitonin gene-related peptide type 1 receptor;!2. Calcitonin gene-related peptide 1;!3. Calcitonin gene-related peptide 2
C28H30N6O3	Not Available	Not Available	498.587	CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1	Not Available	Not Available					50056102		CHEMBL324547	8046211									9870520	347828609					ZINC000003810905		Netazepide	Investigational	DB12355	InChI=1S/C28H30N6O3/c1-28(2,3)23(35)17-34-22-14-6-5-12-20(22)24(21-13-7-8-15-30-21)32-25(26(34)36)33-27(37)31-19-11-9-10-18(16-19)29-4/h5-16,25,29H,17H2,1-4H3,(H2,31,33,37)/t25-/m0/s1	YDZYKNJZCVIKPP-VWLOTQADSA-N	2		Not Available	Small Molecule																																			1	No	6	3	Yes	4	0	115.79 Å2	52.73 Å3	143.44 m3·mol-1	7	Yes	No	0.00452 mg/mL	4.05	-5	13.24	4.31			
C24H16F4N4O2	Not Available	Not Available	468.412	FC1=CC=C(NC(=O)[C@@H]2[C@H](N(CC(F)(F)F)C(=O)C3=CC=CC=C23)C2=CC=CN=C2)C=C1C#N	Not Available	Not Available								52084616									89508529	347828863							SJ-733	Investigational	DB12659	InChI=1S/C24H16F4N4O2/c25-19-8-7-16(10-15(19)11-29)31-22(33)20-17-5-1-2-6-18(17)23(34)32(13-24(26,27)28)21(20)14-4-3-9-30-12-14/h1-10,12,20-21H,13H2,(H,31,33)/t20-,21+/m0/s1	VKCPFWKTFZAOTO-LEWJYISDSA-N	1		Not Available	Small Molecule																																			1	Yes	4	1	No	4	0	86.09 Å2	42.36 Å3	116.12 m3·mol-1	5	Yes	No	0.00532 mg/mL	3.64	-4.9	13.64	4.78			
C28H22ClF3N6O3	The apparent clearance at steady state is 5.6 L/h in patients with relapsed or refractory AML, 4.6 L/h in patients with newly diagnosed AML who were also treated with azacitidine, and 6.1 L/h in patients with cholangiocarcinoma.9	The terminal half-life at steady state is 58 hours in patients with relapsed or refractory AML, 98 hours in patients with newly diagnosed AML who were also treated with azacitidine, and 129 hours in patients with cholangiocarcinoma.9	582.97	[H][C@@](N(C(=O)[C@]1([H])CCC(=O)N1C1=NC=CC(=C1)C#N)C1=CC(F)=CN=C1)(C(=O)NC1CC(F)(F)C1)C1=C(Cl)C=CC=C1	Solid	The apparent volume of distribution at steady state is 403 L in patients with relapsed or refractory AML, 504 L in patients with newly diagnosed AML who were also treated with azacitidine, and 706 L in patients with cholangiocarcinoma.9	P08684;!P20813;!P11712;!P10632	CYP3A4;!CYP2B6;!CYP2C9;!CYP2C8	1. Cytochrome P450 3A4;!2. Cytochrome P450 2B6;!3. Cytochrome P450 2C9;!4. Cytochrome P450 2C8		363689	145430	CHEMBL3989958	38772333												2049873		Ivosidenib	ZINC000205136523	Tibsovo	Ivosidenib	Approved, Investigational	DB14568	InChI=1S/C28H22ClF3N6O3/c29-21-4-2-1-3-20(21)25(26(40)36-18-11-28(31,32)12-18)37(19-10-17(30)14-34-15-19)27(41)22-5-6-24(39)38(22)23-9-16(13-33)7-8-35-23/h1-4,7-10,14-15,18,22,25H,5-6,11-12H2,(H,36,40)/t22-,25-/m0/s1	WIJZXSAJMHAVGX-DHLKQENFSA-N	3	Ivosidenib is an isocitrate dehydrogenase-1 inhibitor used to treat acute myeloid leukemia and cholangiocarcinoma in adults with a susceptible IDH1 mutation.	There is limited information regarding the LD50 or overdose of ivosidenib. Ivosidenib is associated with a risk of differentiation syndrome, Guillain-Barre syndrome, and embryo-fetal toxicity.6,9	Small Molecule																																		<1 mg/mL	1	No	6	1	Yes	5	0	119.29 Å2	53.42 Å3	139.33 m3·mol-1	7	No	No	0.0208 mg/mL	3.01	-4.4	12.14	1.81	O75874	IDH1	1. Isocitrate dehydrogenase [NADP] cytoplasmic
