canonicalSmiles	chemicalProperties.Complexity	chemicalProperties.Compound Is Canonicalized	chemicalProperties.Covalently-Bonded Unit Count	chemicalProperties.Defined Atom Stereocenter Count	chemicalProperties.Defined Bond Stereocenter Count	chemicalProperties.Exact Mass	chemicalProperties.Formal Charge	chemicalProperties.Heavy Atom Count	chemicalProperties.Hydrogen Bond Acceptor Count	chemicalProperties.Hydrogen Bond Donor Count	chemicalProperties.Isotope Atom Count	chemicalProperties.Molecular Weight	chemicalProperties.Monoisotopic Mass	chemicalProperties.Rotatable Bond Count	chemicalProperties.Topological Polar Surface Area	chemicalProperties.Undefined Atom Stereocenter Count	chemicalProperties.Undefined Bond Stereocenter Count	chemicalProperties.XLogP3	chemicalProperties.XLogP3-AA	cid	inChIKey	maxPhase	molecularFormula	synonyms
CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	982	Yes	1	4	0	517.16311939	0	36	8	3	0	517.6	517.16311939	6	182 Å²	0	0	0.5		43672	IVBHGBMCVLDMKU-GXNBUGAJSA-N		C23H27N5O7S	
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C	844	Yes	1	4	0	461.13690464	0	32	7	4	0	461.5	461.13690464	5	173 Å²	0	0	0.1		6479523	JTWOMNBEOCYFNV-NFFDBFGFSA-N		C20H23N5O6S	
CC(=O)NC(CC1=CC(=C(C=C1)C(C(=O)O)(C(=O)O)F)C(=O)OC)C(=O)NC2CCCCN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4	1170	Yes	1	2	0	661.24355790	0	48	10	4	0	661.7	661.24355790	13	179 Å²	0	0		3.8	447522	RLLAUERCSKPFGD-VMPREFPWSA-N		C35H36FN3O9	RU90395;!2-{4-[2-ACETYLAMINO-2-(1-BIPHENYL-4-YLMETHYL-2-OXO-AZEPAN-3-YLCARBAMOYL)-ETHYL]-2-METHOXYCARBONYL-PHENYL}-2-FLUORO-MALONIC ACID;!{4-[(2S)-2-(acetylamino)-3-{[(3S)-1-(biphenyl-4-ylmethyl)-2-oxoazepan-3-yl]amino}-3-oxopropyl]-2-(methoxycarbonyl)phenyl}(fluoro)propanedioic acid;!CHEMBL357488;!BDBM14692
C1C(C(=O)N(C2=CC=CC=C21)CC(=O)NCCO)NC(=O)C3=CC4=C(N3)SC(=C4)Cl	683	Yes	1	1	0	446.0815540	0	30	5	4	0	446.9	446.0815540	6	143 Å²	0	0		2.5	11987874	VUKPNWLGSLOHIF-AWEZNQCLSA-N		C20H19ClN4O4S	(S)-2-Chloro-N-(1-(2-(2-Hydroxyethylamino)-2-Oxoethyl)-2-Oxo-1,2,3,4-Tetrahydroquinolin-3-Yl)-6h-Thieno[2,3-B]pyrrole-5-Carboxamide;!SCHEMBL21067886;!DB07792;!FRX;!Q27097006
CC(C)(C(=O)NCC(C(F)(F)F)(F)F)C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3NC1=O	771	Yes	1	1	0	469.14248232	0	33	8	3	0	469.4	469.14248232	5	87.3 Å²	0	0		4.6	49867930	OJPLJFIFUQPSJR-INIZCTEOSA-N		C22H20F5N3O3	KK8645V7LE;!RG-4733;!RO4929097;!847925-91-1;!RO-4929097
CC(C(=O)NC1C2=CC=CC=C2C3=C(N=CC=C3)N(C1=O)CCO)NC(=O)CCC(F)(F)F	720	Yes	1	2	0	464.16713971	0	33	8	3	0	464.4	464.16713971	7	112 Å²	0	0		1.8	71236992	YCBAQKQAINQRFW-UGSOOPFHSA-N		C22H23F3N4O4	Crenigacestat;!LY3039478;!1421438-81-4;!LY-3039478;!UNII-923X28214S
C1CC(C(=O)N(CC1C2=C(C(=CC=C2)F)F)CC(F)(F)F)NC(=O)N3CCC(CC3)N4C5=C(NC4=O)N=CC=C5	948	Yes	1	2	0	566.20647955	0	40	9	2	0	566.5	566.20647955	4	97.9 Å²	0	0		3	11319053	CGDZXLJGHVKVIE-DNVCBOLYSA-N		C26H27F5N6O3	Telcagepant;!781649-09-0;!MK-0974;!MK0974;!MK 0974
CC(C)(C)C(=O)CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)NC3=CC=CC(=C3)NC)C4=CC=CC=N4	869	Yes	1	1	0	498.23793884	0	37	6	3	0	498.6	498.23793884	7	116 Å²	0	0		3.8	9870520	YDZYKNJZCVIKPP-VWLOTQADSA-N		C28H30N6O3	Sograzepide;!netazepide;!155488-25-8;!YF-476;!YF476
C1=CC=C2C(=C1)C(C(N(C2=O)CC(F)(F)F)C3=CN=CC=C3)C(=O)NC4=CC(=C(C=C4)F)C#N	813	Yes	1	2	0	468.12093841	0	34	8	1	0	468.4	468.12093841	4	86.1 Å²	0	0		3.4	89508529	VKCPFWKTFZAOTO-LEWJYISDSA-N		C24H16F4N4O2	
																								
CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C	713	Yes	1	3	0	451.29472544	0	33	4	2	0	451.6	451.29472544	8	71.7 Å²	0	0		3.4	54746	KORNTPPJEAJQIU-KJXAQDMKSA-N		C26H37N5O2	
C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5	456	Yes	1	2	0	296.188863393	0	22	2	0	0	296.4	296.188863393	1	23.6 Å²	0	0		2.8	6337614	CPZBLNMUGSZIPR-NVXWUHKLSA-N		C19H24N2O	Palonosetron;!135729-61-2;!Aloxi;!(-)-Palonosetron;!Palonosetron [INN]
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC	544	Yes	1	0	0	383.15935417	0	28	8	1	0	383.4	383.15935417	4	107 Å²	0	0	2		4893	IENZQIKPVFGBNW-UHFFFAOYSA-N		C19H21N5O4	
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC	678	Yes	1	0	0	451.18556891	0	33	9	1	0	451.5	451.18556891	4	112 Å²	1	0	2.5		3157	RUZYUOTYCVRMRZ-UHFFFAOYSA-N		C23H25N5O5	
CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C	749	Yes	1	0	0	456.19435995	0	32	7	3	0	456.6	456.19435995	6	119 Å²	0	0		2.4	5625	WHBIGIKBNXZKFE-UHFFFAOYSA-N		C22H28N6O3S	Delavirdine;!136817-59-9;!Delavirdine [INN];!BHAP-U 90152;!UNII-DOL5F9JD3E
