	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
0	DB00319	0.7626	0.5079	0.381	0.6891	0.4646	0.3172	0.6163	0.5257	1	71236992	DB12050
1	DB01061	0.7669	0.514	0.3799	0.6823	0.4954	0.3088	0.622	0.5178	1	71236992	DB12050
2	DB02432	0.8154	0.5268	0.3929	0.6704	0.4583	0.293	0.6883	0.5042	1	71236992	DB12050
3	DB07792	0.8485	0.5682	0.4432	0.7015	0.5182	0.2857	0.7368	0.5402	1	71236992	DB12050
4	DB11870	0.7692	0.6556	0.5556	0.7984	0.5828	0.4242	0.625	0.6644	1	71236992	DB12050
5	DB12050	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	71236992	DB12050
6	DB12228	0.8485	0.5813	0.4236	0.6779	0.4337	0.2973	0.7368	0.5127	1	71236992	DB12050
7	DB12355	0.7692	0.5436	0.4513	0.6669	0.5434	0.4412	0.625	0.5003	1	71236992	DB12050
8	DB12659	0.7611	0.5484	0.4731	0.7064	0.4458	0.3284	0.6143	0.5461	1	71236992	DB12050
9	DB14568	0.7934	0.5854	0.3805	0.7773	0.5016	0.2517	0.6575	0.6358	1	71236992	DB12050
10	DB00248	0.8174	0.4177	0.3038	0.5503	0.445	0.1849	0.6912	0.3796	2	9926791	DB08895
11	DB00377	0.7527	0.4	0.2615	0.5544	0.4747	0.3208	0.6034	0.3835	2	9926791	DB08895
12	DB00457	0.8067	0.4	0.2897	0.5632	0.3672	0.1835	0.6761	0.392	2	9926791	DB08895
13	DB00590	0.7833	0.425	0.275	0.5882	0.3491	0.1639	0.6438	0.4166	2	9926791	DB08895
14	DB00705	0.7244	0.4258	0.271	0.5602	0.3821	0.2342	0.5679	0.3891	2	9926791	DB08895
15	DB01162	0.8099	0.5103	0.2897	0.5931	0.3802	0.1468	0.6806	0.4216	2	9926791	DB08895
