#	DrugBank Id	Source.MineID	Source.PubChemCID	Source.DrugBankID	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesAdmet.Rat acute toxicity	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point ()	propertiesExperimental.logS	propertiesExperimental.melting point ()	propertiesExperimental.pKa	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Water Solubility	propertiesPredicted.logS	propertiesExperimental.LogP	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	chemicalProperties.Complexity	chemicalProperties.Covalently-Bonded Unit Count	chemicalProperties.Defined Atom Stereocenter Count	chemicalProperties.Defined Bond Stereocenter Count	chemicalProperties.Formal Charge	chemicalProperties.Heavy Atom Count	chemicalProperties.Isotope Atom Count	chemicalProperties.Undefined Atom Stereocenter Count	chemicalProperties.Undefined Bond Stereocenter Count	Summary.PolarSurfaceArea	Summary.HydrogenBondDonorCount	Summary.HydrogenBondAcceptorCount	Summary.RotatableBondCount	Summary.MolecularWeight	biochemical.state	Summary.charge
1	DB00319	1	71236992	DB12050	Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Inhibitor	1	No	Yes	No	No	2.3925					2		4	-1	51.77	126.3	0.119	-3.6	0.5	3.49	-4.3	982	1	4	0	0	36	0	0	0	182	3	8	6	517.6	Solid	-1
2	DB01061	1	71236992	DB12050	Non AMES toxic	Ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	Yes	No	Yes	No	2.1838							4	-1	44.97	111.71	0.233	-3.3	0.1	3.49	-5.9	844	1	4	0	0	32	0	0	0	173	4	7	5	461.5	Solid	-1
3	DB02432	1	71236992	DB12050	Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Inhibitor	Inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Inhibitor	0	No	Yes	No	No	2.6625							4	-2	65.9	169.79			3.8	2.25	-1.9	1170	1	2	0	0	48	0	0	0	179	4	10	13	661.7	Solid	-2
4	DB07792	1	71236992	DB12050	Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Inhibitor	Inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	High CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Inhibitor	1	Yes	Yes	Yes	No	2.2973							4	0	45.48	110.62	0.00712	-4.8	2.5	10.94	-1.8	683	1	1	0	0	30	0	0	0	143	4	5	6	446.9	Solid	0
5	DB11870	1	71236992	DB12050																						1	Yes	Yes	Yes	No								3	0	41.16	109.42	0.00228	-5.3	4.6	10.85	-4.5	771	1	1	0	0	33	0	0	0	87.3	3	8	5	469.4		0
6	DB12228	1	71236992	DB12050																						1	No	No	No	No								5	0	52.43	134.6	0.0936	-3.8	3	10.69	3.16	948	1	2	0	0	40	0	0	0	97.9	2	9	4	566.5		0
7	DB12355	1	71236992	DB12050																						1	No	Yes	Yes	No								4	0	52.73	143.44	0.00452	-5	3.8	13.24	4.31	869	1	1	0	0	37	0	0	0	116	3	6	7	498.6		0
8	DB12659	1	71236992	DB12050																						1	Yes	No	Yes	No								4	0	42.36	116.12	0.00532	-4.9	3.4	13.64	4.78	813	1	2	0	0	34	0	0	0	86.1	1	8	4	468.4		0
9	DB14568	1	71236992	DB12050																						1	No	Yes	No	No								5	0	53.42	139.33	0.0208	-4.4	03.01	12.14	1.81										119.29	1	6	7	582.97	Solid	0
10	DB00248	2	9926791	DB08895	Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	Non-inhibitor	Weak inhibitor	Non-inhibitor	1	No	Yes	Yes	No	2.8786					103		4	2	52.5	133.5	0.064	-3.8	3.4	15.25	9.32	713	1	3	0	0	33	0	0	0	71.7	2	4	8	451.6	Solid	2
